Date,dell_return,risk_free_return,sp_return,dell_excess_return,sp_excess_return
2013-06-28,0.00411985018726591,0.00000692307692308,0.00869738394704656,0.00411292711034283,0.00869046087012348
2013-06-21,-0.00298730395817781,0.00000807692307692,-0.02108519986084370,-0.00299538088125473,-0.02109327678392060
2013-06-14,-0.00741289844329129,0.00000769230769231,-0.01013157295609620,-0.00742059075098360,-0.01013926526378850
2013-06-07,0.01010857356795200,0.00000528846153846,0.00775109135982688,0.01010328510641360,0.00774580289828842
2013-05-31,0.00112443778110949,0.00000576923076923,-0.01143306597398620,0.00111866855034026,-0.01143883520475540
2013-05-24,-0.00447761194029850,0.00000192307692308,-0.01071683174579430,-0.00447953501722158,-0.01071875482271740
2013-05-17,-0.00371747211895901,0.00000269230769231,0.02067088237777460,-0.00372016442665132,0.02066819007008230
2013-05-10,0.01051840721262210,0.00000500000000000,0.01194231160525860,0.01051340721262210,0.01193731160525860
2013-05-03,-0.00299625468164788,0.00000807692307692,0.02033828869801410,-0.00300433160472480,0.02033021177493720
2013-04-26,-0.00373134328358216,0.00000846153846154,0.01735411685219730,-0.00373980482204369,0.01734565531373580
2013-04-19,-0.04897090134847400,0.00001115384807692,-0.02114735569892230,-0.04898205519655100,-0.02115850954699930
2013-04-12,-0.00914205344585095,0.00001153846153846,0.02289989288355270,-0.00915359190738941,0.02288835442201420
2013-04-05,-0.00767620376831812,0.00001153846153846,-0.01013893327350300,-0.00768774222985659,-0.01015047173504150
2013-03-29,0.01909476661951910,0.00001461538461538,0.00790031835395100,0.01908015123490380,0.00788570296933561
2013-03-22,-0.01187980433263450,0.00001653846153846,-0.00244117168106484,-0.01189634279417290,-0.00245771014260330
2013-03-15,0.01059322033898310,0.00001692307692308,0.00613719692834192,0.01057629726206010,0.00612027385141884
2013-03-08,0.01142857142857130,0.00001730769230769,0.02172316137515560,0.01141126373626370,0.02170585368284790
2013-03-01,0.00574712643678166,0.00002115384615385,0.00171547613342682,0.00572597259062781,0.00169432228727297
2013-02-22,0.00796524257784204,0.00001576923076923,-0.00275700153893932,0.00794947334707281,-0.00277277076970855
2013-02-15,0.01320616287600870,0.00000807692307692,0.00122534325413270,0.01319808595293180,0.00121726633105578
2013-02-08,0.00000000000000000,0.00000615384615385,0.00314572032712146,-0.00000615384615385,0.00313956648096761
2013-02-01,0.03571428571428580,0.00001057692307692,0.00679331670382033,0.03570370879120890,0.00678273978074341
2013-01-25,0.02492211838006230,0.00001153846153846,0.01142678952067280,0.02491057991852380,0.01141525105913430
2013-01-18,0.18014705882352900,0.00000923076923077,0.00946294703207218,0.18013782805429800,0.00945371626284141
2013-01-11,-0.00820419325432997,0.00001009615384615,0.00380510902812725,-0.00821428940817613,0.00379501287428110
2013-01-04,0.10030090270812400,0.00000432692307692,0.04566353724575100,0.10029657578504700,0.04565921032267410
2012-12-28,-0.03643336529242560,0.00000461538461538,-0.01938256143055830,-0.03643798067704100,-0.01938717681517370
2012-12-21,0.00000000000000000,0.00000615384615385,0.01172205950459080,-0.00000615384615385,0.01171590565843700
2012-12-14,-0.00239120038259211,0.00001538461538462,-0.00316626852301594,-0.00240658499797672,-0.00318165313840055
2012-12-07,0.08454356846473020,0.00002884615576923,0.00133450020932568,0.08451472230896100,0.00130565405355645
2012-11-30,0.00942408376963355,0.00002596153653846,0.00498884375338471,0.00939812223309509,0.00496288221684625
2012-11-23,0.07799977424088510,0.00002259615384615,0.03623115227398020,0.07797717808703900,0.03620855612013410
2012-11-16,-0.05855472901168970,0.00002269230961538,-0.01447256662424480,-0.05857742132130510,-0.01449525893386020
2012-11-09,0.02841530054644800,0.00001730769230769,-0.02428933444487520,0.02839799285414030,-0.02430664213718290
2012-11-02,-0.00974025974025972,0.00002269230961538,0.00160064157075901,-0.00976295204987510,0.00157794926114362
2012-10-26,-0.03246073298429320,0.00002269230576923,-0.01482706470794060,-0.03248342529006240,-0.01484975701370980
2012-10-19,-0.01444788441692460,0.00002259615192308,0.00321994112796298,-0.01447048056884760,0.00319734497603990
2012-10-12,0.00310559006211175,0.00001653846346154,-0.02213664357748150,0.00308905159865021,-0.02215318204094300
2012-10-05,-0.01978691019786920,0.00000961538461538,0.01406290763855100,-0.01979652558248450,0.01405329225393560
2012-09-28,-0.04148576941630490,0.00001269230769231,-0.01334198883757810,-0.04149846172399720,-0.01335468114527040
2012-09-21,-0.04293628808864270,0.00001730769230769,-0.00383589753839642,-0.04295359578095040,-0.00385320523070411
2012-09-14,0.01785714285714280,0.00001923076923077,0.01937294355289530,0.01783791208791200,0.01935371278366460
2012-09-07,0.00472143531633629,0.00002115384615385,0.02228216590116470,0.00470028147018244,0.02226101205501090
2012-08-31,-0.05950266429840150,0.00001884615384615,-0.00322510045459024,-0.05952151045224760,-0.00324394660843639
2012-08-24,-0.07855973813420630,0.00001961538653846,-0.00496135643978612,-0.07857935352074470,-0.00498097182632459
2012-08-17,-0.01531023368251410,0.00001653846346154,0.00874543246085380,-0.01532677214597560,0.00872889399739226
2012-08-10,0.06068376068376070,0.00001038461538462,0.01069628437422240,0.06067337606837610,0.01068589975883780
2012-08-03,-0.02702702702702710,0.00001461538461538,0.00362149741581086,-0.02704164241164250,0.00360688203119547
2012-07-27,0.00166597251145362,0.00001230769230769,0.01710656398852530,0.00165366481914593,0.01709425629621760
2012-07-20,-0.02556818181818180,0.00001384615384615,0.00433054200377248,-0.02558202797202790,0.00431669584992632
2012-07-13,-0.01910828025477710,0.00001298076923077,0.00155602515051356,-0.01912126102400780,0.00154304438128279
